Province_State,Country_Region,Total Cases
Iowa,US,1520
Iowa,US,12112
Iowa,US,3466
Iowa,US,4503
Iowa,US,33209
Iowa,US,2048
Iowa,US,4051
Kansas,US,5127
Kansas,US,2585
Kansas,US,5063
Kansas,US,1234
Kansas,US,7689
Kansas,US,5619
Kansas,US,3159
Kansas,US,22573
Kansas,US,798
Kansas,US,1000
Kansas,US,7447
Kansas,US,733
Kansas,US,609
Kansas,US,2452
Kansas,US,2672
Kansas,US,2833
Kansas,US,548
Kansas,US,12437
Kansas,US,15195
Kansas,US,790
Kansas,US,5906
Kansas,US,2850
Kansas,US,34368
Kansas,US,679
Kansas,US,699
Kansas,US,8442
Kansas,US,2461
Kansas,US,13435
Kansas,US,12512
Kansas,US,8235
Kansas,US,11418
Kansas,US,967
Kansas,US,757
Kansas,US,2800
Kansas,US,1429
Kansas,US,391
Kansas,US,2222
Kansas,US,553
Kansas,US,1920
Kansas,US,11960
Kansas,US,1137
Kansas,US,509
Kansas,US,4640
Kansas,US,5764
Kansas,US,954
Kansas,US,178296
Kansas,US,1381
Kansas,US,2341
Kansas,US,775
Kansas,US,7991
Kansas,US,370
Kansas,US,24249
Kansas,US,740
Kansas,US,3490
Kansas,US,1021
Kansas,US,12076
Kansas,US,4032
Kansas,US,2962
Kansas,US,9609
Kansas,US,1439
Kansas,US,9651
Kansas,US,1759
Kansas,US,10986
Kansas,US,1769
Kansas,US,742
Kansas,US,3796
Kansas,US,6105
Kansas,US,907
Kansas,US,2457
Kansas,US,4894
Kansas,US,1012
Kansas,US,1453
Kansas,US,0
Kansas,US,2614
Kansas,US,1691
Kansas,US,7110
Kansas,US,2281
Kansas,US,805
Kansas,US,22806
Kansas,US,1551
Kansas,US,3082
Kansas,US,16451
Kansas,US,1581
Kansas,US,965
Kansas,US,2155
Kansas,US,17109
Kansas,US,1577
Kansas,US,171398
Kansas,US,8510
Kansas,US,60744
Kansas,US,902
Kansas,US,1812
Kansas,US,839
Kansas,US,1401
Kansas,US,530
Kansas,US,1923
Kansas,US,6649
Kansas,US,3022
Kansas,US,947
Kansas,US,0
Kansas,US,1996
Kansas,US,488
Kansas,US,1633
Kansas,US,598
Kansas,US,3456
Kansas,US,1036
Kansas,US,54648
Kentucky,US,7849
Kentucky,US,8543
Kentucky,US,8514
Kentucky,US,1751
Kentucky,US,17377
Kentucky,US,4665
Kentucky,US,11175
Kentucky,US,47400
Kentucky,US,7822
Kentucky,US,22965
Kentucky,US,11447
Kentucky,US,2761
Kentucky,US,5402
Kentucky,US,6698
Kentucky,US,29211
Kentucky,US,4769
Kentucky,US,5085
